,IYH
symbol,IYH
price,279.76
beta,0
volAvg,47109
mktCap,3077359720
lastDiv,3.1190000000000007
range,247.38-301.63
changes,3.63
companyName,iShares U.S. Healthcare ETF
currency,USD
cik,
isin,US4642877629
cusip,464287762
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the healthcare sector of the U.S. equity market. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IYH.png
ipoDate,2000-06-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
