,QVCD
symbol,QVCD
price,14.86
beta,0
volAvg,32865
mktCap,0
lastDiv,1.592
range,11.05-24.63
changes,0.57
companyName,"QVC, Inc. 6.375% Senior Secured"
currency,USD
cik,0001254699
isin,US7472623013
cusip,747262301
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,Industrials
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/QVCD.png
ipoDate,2018-09-18
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
