,PFXF
symbol,PFXF
price,18.36
beta,0
volAvg,248908
mktCap,0
lastDiv,0.991
range,16.23-20.88
changes,0.16
companyName,VanEck Preferred Securities ex Financials ETF
currency,USD
cik,
isin,US92189F4292
cusip,92189F429
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of U.S. exchange-listed hybrid debt, preferred stock and convertible preferred stock issued by non-financial corporations. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PFXF.png
ipoDate,2012-07-16
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
