,ACWI
symbol,ACWI
price,92.12
beta,0
volAvg,6074470
mktCap,104987966
lastDiv,1.5230000000000001
range,75.71-103.27
changes,0.87
companyName,iShares MSCI ACWI ETF
currency,USD
cik,
isin,US4642882579
cusip,464288257
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted market capitalization index designed to measure the combined equity market performance of developed and emerging markets countries.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ACWI.png
ipoDate,2008-03-26
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
