,BYLD
symbol,BYLD
price,22.15
beta,0
volAvg,32954
mktCap,35763944
lastDiv,0.663
range,21.02-24.495
changes,0.08
companyName,iShares Yield Optimized Bond ETF
currency,USD
cik,
isin,US46434V7872
cusip,46434V787
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund will invest at least 80% of its assets in the component securities of the underlying index and to-be-announced transactions (“TBAs”) that have economic characteristics that are substantially identical to the economic characteristics of the component securities of the underlying index. The underlying index is a broadly diversified fixed-income index that seeks to deliver current income while maintaining long-term capital appreciation.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BYLD.png
ipoDate,2014-04-22
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
