,FXI
symbol,FXI
price,31.8
beta,0
volAvg,43927296
mktCap,4116509968
lastDiv,0.739
range,20.87-38.9
changes,-0.2
companyName,iShares China Large-Cap ETF
currency,USD
cik,
isin,US4642871846
cusip,464287184
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index designed to measure the performance of the largest companies in the Chinese equity market that trade on the Stock Exchange of Hong Kong and are available to international investors. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FXI.png
ipoDate,2004-10-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
