,MINT.TO
symbol,MINT.TO
price,32.07
beta,0
volAvg,2991
mktCap,0
lastDiv,0.793
range,27.4-32.27
changes,0.11
companyName,Manulife Multifactor Developed International Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MINT.TO.png
ipoDate,2017-04-17
defaultImage,False
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
