,SDY
symbol,SDY
price,129.45
beta,0
volAvg,594218
mktCap,0
lastDiv,6.39
range,110.55-133.22
changes,2.27
companyName,SPDR S&P Dividend ETF
currency,USD
cik,
isin,US78464A7634
cusip,78464A763
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to measure the performance of the highest dividend yielding S&P Composite 1500® Index constituents that have followed a managed-dividends policy of consistently increasing dividends every year for at least 20 consecutive years."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SDY.png
ipoDate,2005-11-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
