,ECH
symbol,ECH
price,29.26
beta,0
volAvg,380288
mktCap,258950971
lastDiv,1.8239999999999998
range,21.74-30.99
changes,0.38
companyName,iShares MSCI Chile ETF
currency,USD
cik,
isin,US4642866408
cusip,464286640
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is a free float-adjusted market capitalization index that is designed to measure the performance of the large-, mid- and small-capitalization segments of the Chilean equity market. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ECH.png
ipoDate,2007-11-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
