,BJK
symbol,BJK
price,43.91
beta,0
volAvg,31172
mktCap,29428219
lastDiv,0.168
range,31.47-44.81
changes,0.59
companyName,VanEck Gaming ETF
currency,USD
cik,
isin,US92189F8822
cusip,92189F882
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. To be initially eligible for the index, companies must generate at least 50% of their revenues from gaming. Gaming includes casinos and casino hotels, sports betting (including internet gambling and racetracks) and lottery services as well as gaming services, gaming technology and gaming equipment. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BJK.png
ipoDate,2008-01-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
