,XMA.TO
symbol,XMA.TO
price,20.09
beta,0
volAvg,16043
mktCap,0
lastDiv,0.225
range,15.24-23.38
changes,0.25
companyName,iShares S&P/TSX Capped Materials Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XMA.TO.png
ipoDate,2005-12-28
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
