,BSV
symbol,BSV
price,76.21
beta,0
volAvg,3468988
mktCap,23634722656
lastDiv,1.005
range,74.03-80.02
changes,0.19
companyName,Vanguard Short-Term Bond Index Fund
currency,USD
cik,
isin,US9219378273
cusip,921937827
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"This index includes all medium and larger issues of U.S. government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities between 1 and 5 years and are publicly issued. All of the fund's investments will be selected through the sampling process, and at least 80% of its assets will be invested in bonds held in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSV.png
ipoDate,2007-04-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
