,PHO
symbol,PHO
price,54.37
beta,0
volAvg,75859
mktCap,0
lastDiv,0.25
range,43.22-54.75
changes,1.64
companyName,Invesco Water Resources ETF
currency,USD
cik,
isin,US46137V1420
cusip,46137V142
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index seeks to track the performance of companies that create products designed to conserve and purify water for homes, businesses and industries. The underlying index may include common stocks, ordinary shares, American depositary receipts (""ADRs""), shares of beneficial interest and tracking stocks. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PHO.png
ipoDate,2005-12-06
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
