,PHB
symbol,PHB
price,17.6
beta,0
volAvg,278318
mktCap,0
lastDiv,0.6090000000000001
range,16.35-18.96
changes,0.14
companyName,Invesco Fundamental High Yield Corporate Bond ETF
currency,USD
cik,
isin,US46138E7195
cusip,46138E719
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in the components that comprise the index. Strictly in accordance with its guidelines and mandated procedures, Research Affiliates, LLC or its agent compiles and calculates the index, which is designed to measure the performance of U.S. dollar-denominated, high yield corporate bonds that are SEC-registered securities."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PHB.png
ipoDate,2007-11-15
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
