,KRBN
symbol,KRBN
price,39.55
beta,0
volAvg,173250
mktCap,0
lastDiv,8.355
range,34.64-56.07
changes,1.04
companyName,KraneShares Global Carbon ETF
currency,USD
cik,
isin,US5007676787
cusip,500767678
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The advisor attempts to maintain exposure to carbon credit futures that are substantially the same as those included in the index. The index is designed to measure the performance of a portfolio of liquid carbon credit futures that require “physical delivery” of emission allowances issued under cap and trade regimes. It is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KRBN.png
ipoDate,2020-07-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
