,VCN.TO
symbol,VCN.TO
price,42.05
beta,0
volAvg,97904
mktCap,0
lastDiv,1.239
range,36.1-44.95
changes,0.42
companyName,Vanguard FTSE Canada All Cap Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VCN.TO.png
ipoDate,2013-08-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
