,DGRO
symbol,DGRO
price,51.32
beta,0
volAvg,2410114
mktCap,6899523924
lastDiv,1.1680000000000001
range,43.67-54.73
changes,0.65
companyName,iShares Core Dividend Growth ETF
currency,USD
cik,
isin,US46434V6213
cusip,46434V621
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is a subset of the Morningstar® US Market IndexSM, which is a diversified broad market index that represents approximately 97% of the market capitalization of publicly-traded U.S. stocks."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DGRO.png
ipoDate,2014-06-10
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
