,HDMV
symbol,HDMV
price,28.73
beta,0
volAvg,5101
mktCap,0
lastDiv,0.9580000000000001
range,23.64-31.8
changes,0.21
companyName,First Trust Horizon Managed Volatility Developed International ETF
currency,USD
cik,
isin,US33739P8712
cusip,33739P871
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund seeks to achieve its investment objective by investing at least 80% of its net assets (including investment borrowings) in common stocks and depositary receipts of developed market companies listed and traded on non-U.S. exchanges that the Sub-Advisor believes exhibit low future expected volatility. Under normal market conditions, it will invest in at least three countries and at least 40% of its net assets in countries other than the United States."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HDMV.png
ipoDate,2016-08-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
