,XBB.TO
symbol,XBB.TO
price,28.04
beta,0
volAvg,225541
mktCap,2610523944
lastDiv,0.798
range,26.21-30.74
changes,0.01
companyName,iShares Core Canadian Universe Bond Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XBB.TO.png
ipoDate,2000-11-23
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
