,TNA
symbol,TNA
price,41.27
beta,0
volAvg,9350591
mktCap,0
lastDiv,0.099
range,27.12-69.69
changes,2.79
companyName,Direxion Daily Small Cap Bull 3X Shares
currency,USD
cik,0001424958
isin,US25459W8477
cusip,25459W847
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or ETFs that track the index. The index measures the performance of approximately 2,000 small-capitalization companies in the Russell 3000® Index, based on a combination of their market capitalization. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TNA.png
ipoDate,2008-11-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
