,TTAI
symbol,TTAI
price,27.19
beta,0
volAvg,12129
mktCap,0
lastDiv,2.368
range,23.77-34.816
changes,0.1527
companyName,FCF International Quality ETF
currency,USD
cik,
isin,US89628W4015
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Under normal market circumstances, approximately 150 of the highest ranked securities are selected by the Systematic Models and reweighted to create a modified market capitalization, log weighted portfolio, which allows for increased exposure to companies with the strongest proprietary free cash flow rankings while enhancing issuer diversification, as compared to a market capitalization weighted portfolio."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TTAI.png
ipoDate,2017-06-28
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
