,SSO
symbol,SSO
price,49.88
beta,0
volAvg,5445745
mktCap,0
lastDiv,0.221
range,37.53-68.66
changes,1.42
companyName,ProShares Ultra S&P500
currency,USD
cik,
isin,US74347R1077
cusip,74347R107
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that the advisors believe, in combination, should produce daily returns consistent with the fund's investment objective. The index is a measure of large-cap U.S. stock market performance. It is a float-adjusted, market capitalization-weighted index of 500 U.S. operating companies and real estate investment trusts selected through a process that factors in criteria such as liquidity, price, market capitalization financial viability and public float. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SSO.png
ipoDate,2006-06-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
