,IJT
symbol,IJT
price,116
beta,0
volAvg,235044
mktCap,3497400000
lastDiv,1.17
range,100.13-129.76
changes,2.59
companyName,iShares S&P Small-Cap 600 Growth ETF
currency,USD
cik,
isin,US4642878874
cusip,464287887
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The index measures the performance of the small-capitalization growth sector of the U.S. equity market. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IJT.png
ipoDate,2000-07-24
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
