,HDEF
symbol,HDEF
price,23.34
beta,0
volAvg,342604
mktCap,0
lastDiv,1.179
range,17.85-24.97
changes,0.16
companyName,Xtrackers MSCI EAFE High Dividend Yield Equity ETF
currency,USD
cik,0001503123
isin,US2330516301
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its total assets (but typically far more) in component securities of the underlying index. The underlying index is designed to reflect the performance of equities in its parent index, the MSCI EAFE Index, with higher dividend income and quality characteristics than average dividend yields of equities in the parent index, where such higher dividend income and quality characteristics are both sustainable and persistent."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HDEF.png
ipoDate,2015-08-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
