,EWM
symbol,EWM
price,23.78
beta,0
volAvg,293831
mktCap,354916476
lastDiv,0.684
range,19.6-25.97
changes,-0.1
companyName,iShares MSCI Malaysia ETF
currency,USD
cik,
isin,US46434G8143
cusip,46434G814
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is designed to measure the performance of the large- and mid- capitalization segments of the Malaysian market. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EWM.png
ipoDate,1996-03-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
