,ANGL
symbol,ANGL
price,28.07
beta,0
volAvg,2050113
mktCap,965722610
lastDiv,1.16
range,25.75-31.71
changes,0.22
companyName,VanEck Fallen Angel High Yield Bond ETF
currency,USD
cik,
isin,US92189F4375
cusip,92189F437
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of below investment grade corporate bonds denominated in U.S. dollars that were rated investment grade at the time of issuance.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ANGL.png
ipoDate,2012-04-10
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
