,XRE.TO
symbol,XRE.TO
price,18.18
beta,0
volAvg,360011
mktCap,1292598055
lastDiv,0.7970000000000003
range,14.87-21.3
changes,0.01
companyName,iShares S&P/TSX Capped REIT Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XRE.TO.png
ipoDate,2002-10-22
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
