,BCI
symbol,BCI
price,21.87
beta,0
volAvg,423027
mktCap,58731448
lastDiv,4.408
range,20.86-31.94
changes,0.27
companyName,abrdn Bloomberg All Commodity Strategy K-1 Free ETF
currency,USD
cik,0001597934
isin,US0032611040
cusip,003261104
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index reflects the return on a fully collateralized investment in the Bloomberg Commodity IndexSM (“BCOM”), which is composed of futures contracts on physical commodities and is designed to be a highly liquid and broad-based benchmark for commodities futures investments. The fund invests in exchange-traded commodity futures contracts through a wholly-owned subsidiary of the fund organized under the laws of the Cayman Islands (the “Subsidiary”). It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BCI.png
ipoDate,2017-03-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
