,HND.TO
symbol,HND.TO
price,55.44
beta,0
volAvg,1316048
mktCap,0
lastDiv,0
range,9.6-166.8
changes,-2.53
companyName,BetaPro Natural Gas Inverse Leveraged Daily Bear ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HND.TO.png
ipoDate,2008-01-16
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
