,IWF
symbol,IWF
price,232.08
beta,0
volAvg,2744613
mktCap,65725056696
lastDiv,1.9489999999999998
range,202.05-285.76
changes,3.75
companyName,iShares Russell 1000 Growth ETF
currency,USD
cik,
isin,US4642876142
cusip,464287614
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IWF.png
ipoDate,2000-05-22
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
