,USO
symbol,USO
price,69.32
beta,0
volAvg,3828983
mktCap,8256012000
lastDiv,0
range,61.58-92.2
changes,1.22
companyName,"United States Oil Fund, LP"
currency,USD
cik,0001327068
isin,US91232N1081
cusip,91232N108
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"USO invests primarily in futures contracts for light, sweet crude oil, other types of crude oil, diesel-heating oil, gasoline, natural gas, and other petroleum-based fuels."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,12.6711
dcf,82.1711
image,https://financialmodelingprep.com/image-stock/USO.png
ipoDate,2006-04-10
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
