,TSL
symbol,TSL
price,12.24
beta,0
volAvg,45144
mktCap,0
lastDiv,0
range,6.4-27.41
changes,0.56
companyName,GraniteShares ETF Trust - GraniteShares 2x Long Tesla Daily ETF
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,
ceo,
sector,
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TSL.png
ipoDate,2022-08-09
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
