,XNTK
symbol,XNTK
price,112.82
beta,0
volAvg,9027
mktCap,1190250887
lastDiv,0.8210000000000001
range,87.92-153.06
changes,1.7007
companyName,SPDR NYSE Technology ETF
currency,USD
cik,
isin,US78464A1025
cusip,78464A102
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. It may invest in equity securities that are not included in the index, cash and cash equivalents or money market instruments, such as repurchase agreements and money market funds. The index is composed of 35 leading U.S.-listed technology-related companies."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XNTK.png
ipoDate,2000-09-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
