,SCZ
symbol,SCZ
price,61.14
beta,0
volAvg,1640608
mktCap,0
lastDiv,1.125
range,47.12-70.41
changes,0.35
companyName,iShares MSCI EAFE Small-Cap ETF
currency,USD
cik,
isin,US4642882736
cusip,464288273
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index represents the small-capitalization segment of the MSCI EAFE IMI Index.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SCZ.png
ipoDate,2007-12-10
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
