,BAB
symbol,BAB
price,26.95
beta,0
volAvg,458863
mktCap,958072554
lastDiv,0.8839999999999999
range,24.39-32.12
changes,0.05
companyName,Invesco Taxable Municipal Bond ETF
currency,USD
cik,
isin,US46138G8050
cusip,46138G805
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the index. ICE Data Indices, LLC, oversees the underlying index, which is designed to measure the performance of U.S. dollar-denominated taxable municipal debt publicly issued by U.S. states and territories, and their political subdivisions, in the U.S. market."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BAB.png
ipoDate,2009-11-17
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
