,GLCN
symbol,GLCN
price,28.46
beta,0
volAvg,1252
mktCap,0
lastDiv,0.575
range,22.09-35.42
changes,-0.3096
companyName,VanEck China Growth Leaders ETF
currency,USD
cik,
isin,US92189F7592
cusip,92189F759
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index and/or in investments that have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise its benchmark index. The index is comprised of Chinese equity securities which are generally considered by the index provider to exhibit favorable fundamental characteristics according to its proprietary scoring methodology.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GLCN.png
ipoDate,2010-10-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
