,strategy_vs_benchmark,starting_money,ending_money,high_mark,low_mark,return,high_mark2,low_mark2
0,Recommended Stocks,"$19,956.98","$19,600.27","$19,961.95","$19,600.04",-1.79%,0.02%,-1.79%
1,SPY Index,"$19,956.98","$19,917.52","$20,447.7","$19,637.73",-0.2%,2.46%,-1.6%
