,companyName,ticker,allocation,shares,start_price,current_price,max_price,min_price,investment,present_value,max_value,min_value,return
0,Invesco Dynamic Oil & Gas Services ETF,PXJ,38.0,1364.0,5.57,5.4,5.61,5.33,7597.48,7365.6,7652.04,7270.12,-3.0520646319569016
1,VanEck Steel ETF,SLX,30.0,89.0,67.16,67.85,69.07,66.86,5977.24,6038.65,6147.23,5950.54,1.0273972602739703
2,Energy Select Sector SPDR Fund,XLE,18.0,40.0,89.51,86.28,90.07,86.1,3580.4,3451.2,3602.8,3444.0,-3.608535359177753
3,"United States Gasoline Fund, LP",UGA,14.0,46.0,60.91,59.67,61.97,58.59,2801.86,2744.82,2850.62,2695.14,-2.035790510589393
