,strategy_vs_benchmark,starting_money,ending_money,high_mark,low_mark,return,high_mark2,low_mark2
0,Recommended Stocks,"$19,694.71","$18,413.05","$19,266.31","$18,413.05",-6.51%,-2.18%,-6.51%
1,SPY Index,"$19,694.71","$19,511.04","$20,030.4","$19,236.96",-0.93%,1.7%,-2.32%
