,strategy_vs_benchmark,starting_money,ending_money,high_mark,low_mark,return,high_mark2,low_mark2
0,Recommended Stocks,"$20,012.5","$19,989.73","$19,989.68","$19,949.97",-0.11%,-0.11%,-0.31%
1,SPY Index,"$20,012.5","$19,917.52","$20,447.7","$19,637.73",-0.47%,2.17%,-1.87%
