,strategy_vs_benchmark,starting_money,ending_money,high_mark,low_mark,return,high_mark2,low_mark2
0,Recommended Stocks,"$19,851.17","$19,337.46","$19,781.18","$19,336.9",-2.59%,-0.35%,-2.59%
1,SPY Index,"$19,851.17","$19,917.52","$20,447.7","$19,637.73",0.33%,3.01%,-1.08%
